Country,WHO Region,Dates,Total cases,Cases  in last 7 days,Deaths,Death in last 7 days
Gambia,Africa,18-05-2021,12586,0,372,0
Saint Martin,Americas,07-02-2020,12257,0,46,0
Vanuatu,Western Pacific,15-01-2021,12014,0,14,0
Greenland,Europe,13-12-2021,11971,0,21,0
Yemen,Eastern Mediterranean,15-07-2021,11945,0,2159,0
Sint Maarten,Americas,04-07-2019,11020,4,90,0
Eritrea,Africa,01-03-2020,10189,0,103,0
Bonaire,Americas,16-07-2021,9848,4,33,0
Saint Vincent and the Grenadines,Americas,25-03-2019,9589,0,123,0
Niger,Africa,16-12-2021,9512,0,315,0
Antigua and Barbuda,Americas,14-03-2019,9106,0,146,0
Comoros,Africa,01-02-2020,8998,0,160,0
Guinea-Bissau,Africa,05-11-2019,8953,0,176,0
American Samoa,Western Pacific,06-10-2019,8320,0,34,0
Liberia,Africa,16-06-2019,8077,0,293,0
Sierra Leone,Africa,07-07-2019,7760,0,125,0
Chad,Africa,02-01-2020,7675,0,194,0
British Virgin Islands,Americas,23-06-2021,7305,0,64,0
Cook Islands,Western Pacific,27-02-2021,7028,0,2,0
Saint Kitts and Nevis,Americas,17-06-2020,6596,0,46,0
Turks and Caicos Islands,Americas,16-12-2019,6551,0,38,0
Sao Tome and Principe,Africa,25-07-2020,6281,0,77,0
Palau,Western Pacific,20-09-2020,5989,1,9,0
Saint Barthélemy,Americas,07-05-2020,5439,0,5,0
Nauru,Western Pacific,23-06-2020,5247,0,1,0
Kiribati,Western Pacific,16-08-2019,5013,0,18,0
Anguilla,Americas,18-07-2019,3904,0,12,0
Wallis and Futuna,Western Pacific,27-03-2020,3427,0,7,0
Saint Pierre and Miquelon,Americas,23-04-2021,3415,0,2,0
Tuvalu,Western Pacific,19-10-2021,2779,0,0,0
"Saint Helena, Ascension and Tristan da Cunha",Africa,17-03-2020,2166,0,0,0
Falkland Islands (Malvinas),Americas,23-09-2019,1923,0,0,0
Montserrat,Americas,02-09-2021,1403,0,8,0
Sint Eustatius,Americas,09-02-2020,1214,0,6,0
Other,Other,28-04-2020,764,0,13,0
Niue,Western Pacific,28-04-2019,747,0,0,0
Saba,Americas,12-05-2021,742,1,2,0
Holy See,Europe,19-12-2021,26,0,0,0
Tokelau,Western Pacific,25-09-2020,5,0,0,0
Pitcairn Islands,Western Pacific,05-11-2020,4,0,0,0
Democratic People's Republic of Korea,South-East Asia,28-01-2019,0,0,0,0
Turkmenistan,Europe,19-09-2020,0,0,0,0
